"","path","lag","name","start","parameter","first","second","direction","Estimate","Std_Error","z_value","p_value","Model","Species"
"1","recdevs1 <-> recdevs1",0,"sigmaR1",1,1,"recdevs1","recdevs1","2",0.469459902419382,0.0755218549291972,6.21621255012217,5.09298054518369e-10,"Base","ATF"
"19","NGAO_spring             ->  recdevs1",1,"NGAO_to_R",0,1,"NGAO_spring","recdevs1","1",-0.103685597791698,0.0422039201012732,-2.45677646869988,0.0140189885878795,"IID","ATF"
"2","GOADI_spring            ->  recdevs1",1,"GOADI_to_R",0,2,"GOADI_spring","recdevs1","1",0.477904756155069,0.0824607165630057,5.7955445462315,6.80998483558631e-09,"IID","ATF"
"3","recdevs1 <-> recdevs1",0,"sigmaR1",1,3,"recdevs1","recdevs1","2",6.20908065872319e-06,NA,NA,NA,"IID","ATF"
"4","NGAO_spring <-> NGAO_spring",0,"V[NGAO_spring]",NA,4,"NGAO_spring","NGAO_spring","2",0.99540338362925,0.0906334439715416,10.9827381594569,4.62683225951936e-28,"IID","ATF"
"5","GOADI_spring <-> GOADI_spring",0,"V[GOADI_spring]",NA,5,"GOADI_spring","GOADI_spring","2",0.977803268362895,0.0908476763670552,10.7631070762035,5.14071134645529e-27,"IID","ATF"
"110","GOADI_spring            ->  SST_EGOA_spring",0,"GOADI_to_eSST",0,1,"GOADI_spring","SST_EGOA_spring","1",-0.490372544045796,NA,NA,NA,"DSEM","ATF"
"21","GOADI_spring            ->  Upwelling_EGOA_spring",0,"GOADI_to_Up",0,2,"GOADI_spring","Upwelling_EGOA_spring","1",0.626004099340418,NA,NA,NA,"DSEM","ATF"
"31","GOADI_spring            ->  Neocalanus_winterspring",0,"GOADI_to_Cal",0,3,"GOADI_spring","Neocalanus_winterspring","1",-0.417054648608831,NA,NA,NA,"DSEM","ATF"
"41","NGAO_spring             ->  SST_EGOA_spring",0,"NGAO_to_eSST",0,4,"NGAO_spring","SST_EGOA_spring","1",0.552276050465189,NA,NA,NA,"DSEM","ATF"
"51","NGAO_spring             ->  Upwelling_EGOA_spring",0,"NGAO_to_Up",0,5,"NGAO_spring","Upwelling_EGOA_spring","1",0.125225305423743,NA,NA,NA,"DSEM","ATF"
"6","NGAO_spring             ->  Neocalanus_winterspring",0,"NGAO_to_Cal",0,6,"NGAO_spring","Neocalanus_winterspring","1",-0.0734104956237124,NA,NA,NA,"DSEM","ATF"
"7","SST_EGOA_spring         ->  Neocalanus_winterspring",0,"SST_to_Cal",0,7,"SST_EGOA_spring","Neocalanus_winterspring","1",-0.312151534293179,NA,NA,NA,"DSEM","ATF"
"8","SST_EGOA_spring         ->  recdevs1",1,"eSST_to_R",0,8,"SST_EGOA_spring","recdevs1","1",-0.350594980890449,NA,NA,NA,"DSEM","ATF"
"9","Upwelling_EGOA_spring   ->  recdevs1",1,"Up_to_R",0,9,"Upwelling_EGOA_spring","recdevs1","1",0.0445279824064782,NA,NA,NA,"DSEM","ATF"
"10","Neocalanus_winterspring ->  recdevs1",1,"Cal_to_R",0,10,"Neocalanus_winterspring","recdevs1","1",0.00774268232769644,NA,NA,NA,"DSEM","ATF"
"11","NGAO_spring             ->  recdevs1",1,"NGAO_to_R",0,11,"NGAO_spring","recdevs1","1",0.0109749540227698,NA,NA,NA,"DSEM","ATF"
"12","GOADI_spring            ->  recdevs1",1,"GOADI_to_R",0,12,"GOADI_spring","recdevs1","1",-0.658552980436255,NA,NA,NA,"DSEM","ATF"
"13","recdevs1 <-> recdevs1",0,"sigmaR1",1,13,"recdevs1","recdevs1","2",-5.06110237251044e-09,NA,NA,NA,"DSEM","ATF"
"14","NGAO_spring <-> NGAO_spring",0,"V[NGAO_spring]",NA,14,"NGAO_spring","NGAO_spring","2",0.988805305258267,NA,NA,NA,"DSEM","ATF"
"15","GOADI_spring <-> GOADI_spring",0,"V[GOADI_spring]",NA,15,"GOADI_spring","GOADI_spring","2",0.957103069952483,NA,NA,NA,"DSEM","ATF"
"16","Upwelling_EGOA_spring <-> Upwelling_EGOA_spring",0,"V[Upwelling_EGOA_spring]",NA,16,"Upwelling_EGOA_spring","Upwelling_EGOA_spring","2",0.871941351787121,NA,NA,NA,"DSEM","ATF"
"17","SST_EGOA_spring <-> SST_EGOA_spring",0,"V[SST_EGOA_spring]",NA,17,"SST_EGOA_spring","SST_EGOA_spring","2",0.631312434013225,NA,NA,NA,"DSEM","ATF"
"18","Neocalanus_winterspring <-> Neocalanus_winterspring",0,"V[Neocalanus_winterspring]",NA,18,"Neocalanus_winterspring","Neocalanus_winterspring","2",0.873968750704378,NA,NA,NA,"DSEM","ATF"
